"
                            نمایشگاه کابینت و طراحی و اجرای دکوراسیون داخلی
                            
",حسام الدین سلطانی,77167622,09125196428,منطقه 14,"
                           خ پیروزی، بلوار ابوذر، نرسیده به پل اول، نبش 6 غربی(فرزانه)  پلاک: 1144 
                        ",,دارد
"
                            سازنده انواع فنرهای مفتولی و صنعتی، استیل و تسمه ای با دستگاه تمام اتوماتیک(سفارشات پذیرفته میشود)
                            
",جواد محمدی,33910642,09126357192,منطقه 12,"
                           سعدی شمالی، نرسیده به مخبرالدوله، بعد از بیمه ایران، مقابل بانک ملت  پلاک: 473 
                        ",,
"
                            سنگ تزئینی
                            
",احد سلطانی,55168254,,منطقه 12,"
                           بازار بزرگ  پاساژ اردیبهشت طبقه زیرین  پلاک: 39 
                        ",,
"
                            نمایندگی اوشن تایلند
                            
",پارسا و آرمان قنوات,55325867,09217557653,منطقه 16,"
                           میدان شوش، خ صابونیان، بازار کریستال نائی  پلاک: 55/19 
                        ",,
"
                            بورس انواع فرش های تبریز
                            
",محمد پورصدیقی و ابراهیم خیری,88834276-88341488,,منطقه 12,"
                           میدان فردوسی، بازار عباسی طبقه زیرهمکف، پلاک19 
                        ",,
"
                            عرضه موکت، فرش، روفرشی، قالیچه کناره، کاغذ دیواری، لمینت، پارکت، پتو گلبافت
                            
",حسین اکبری,22502027,,منطقه 4,"
                           بزرگراه رسالت، استاد حسن بنا جنوبی، روبروی بانک تجارت  پلاک: 238 جدید 
                        ",,
"
                            اخذ ویزا، رزرو هتل، مجری تورهای داخلی، خارجی و زیارتی
                            
",حبیب اله مازندرانی,44402600,09121053036,منطقه 5,"
                           پونک، ابتدای خ میرزا بابایی پاساژ غدیر طبقه اول واحد 27
                        ",,
"
                            سازنده انواع قالبهای برش جعبه، اتیکت، کارتن، واشر، پازل و...، مجهز به سیستم برش لیزر و خم کن اتوماتیک
                            
",احمد صبوری,33564561-33122039,09121396966,منطقه 12,"
                           میدان بهارستان، خ مصطفی خمینی، پایین تر از سرچشمه، بعد از بانک کشاورزی،   پلاک: 645 
                        ",,
"
                            امداد خودرو
                            
",,77111651,,منطقه 4,"
                           تهران- تهرانپارس 
                        ",,
"
                            عرضه کننده لوازم خیاطی، نخ و سوزن، یراق آلات، کاموا، ملیله، منجوق، دکمه، نوارهای تزئینی، زیپ و..، تهیه خرج کار
                            
",حسن علی روبیاتی,33752230,09195608694,منطقه 20,"
                           شهرری، خ ابن بابویه پاساژ امین  پلاک: 98 
                        ",,
"
                            لوازم یدکی موتورسیکلت و کلاه کاسکت
                            
",علی رزاقی کاشانی,55369518-55369519,09124198457,منطقه 12,"
                           میدان رازی، خ مولوی  پلاک: 1176 
                        ",,
"
                            باشگاه ورزشی آقایان و بانوان - صبح ها خانم ها و بعد از ظهرها آقایان - بدنسازی و کار با دستگاه های پیشرفته روز دنیا - تناسب اندام - فیتنس - ایروبیک مبتدی و پیشرفته - ایروبیک کودکان(با مربی درجه یک اکراینی) - ژیمناستیک و باله - یوگا - زومبا - در محیطی شاد  و دوستانه -زیر نظر مربیان مجرب و باتجربه همراه با برنامه ورزشی - برنامه کاهش و افزایش وزن - رژیم غذایی - مشاوره رایگان - با مدیریت بخش خانمها: خانم سارا خلج زمان تلفن: 09194002207 
                            
",محمدرضا  خلج زمان,76293749,09127273017,حومه تهران,"
                           پردیس - م عدالت - جنب بانک مسکن - طبقه زیرهمکف برج آسمان 
                        ",,
"
                            تریکو
                            
",محمد امینی نژاد,33901489,,منطقه 12,"
                           لاله زار جنوبی  کوچه باربد پاساژ لاله زار   پلاک: 30 
                        ",,
"
                            تولید و پخش انواع مبلمان مدرن
                            
",محسن حسین زاده,76702557-09127998905,09128984590,حومه تهران,"
                           کارخانه:جاجرود، 10متری احسان، نبش کوچه نوروزی، پ 263 ، فروش:جاجرود، دوربرگردان دوم به سمت تهران، ورودی پمپ بنزین تپه سیف، جنب رستوران سنتی رضا 
                        ",,
"
                            اتوماسیون صنعتی
                            
",فرید  کشاورز,33955239,,منطقه 12,"
                           سعدی جنوبی  کوچه فخرائی پاساژ صدقی نژاد جدید طبقه همکف  پلاک: 12 
                        ",,
"
                            عرضه کننده کلیه ادوات موسیقی
                            
",اصغر حسین زاده,33910770-33988427,09122724412,منطقه 12,"
                           خ بهارستان، روبروی تالار سیاره، نبش کوچه دانشسرا، شماره 66 
                        ",,
"
                            تهیه و توزیع صنایع برودتی، نماینده فروش گازهای برودتی هانیول امریکا و فروژن انگلیس
                            
",سعید آذری,77619580-77619584,,منطقه 12,"
                           سعدی شمالی - خ برادران قائدی - سه راه کاشف - خ نادری  پلاک: 20 
                        ",,
"
                            تامین تجهیرات صنایع(تست و کالیبراسیون، ابزار دقیق و کنترل)
                            
",محسن میرزاقلی پور,33999635,09128898827,منطقه 12,"
                           خ لاله زار جنوبی کوچه بوشهری پاساژ تهران الکتریک طبقه سوم  پلاک: 407 
                        ",دارد,دارد
