"
                            آموزشگاه آرایش و زیبایی بانوان 
                            
",طربی,44332658,,منطقه 5,"
                           شهران بلوار کوهسار تقاطع خ ادهمی   پلاک: 12 طبقه 4 
                        ",,
"
                            عکاسی 
                            
",محمد غلام زاده,26549440,,حومه تهران,"
                           لواسان - بلوار امام - جنب بانک ملت 
                        ",,
"
                            آموزش انگلیسی و فرانسه و آلمانی - روزهای زوج پسران و روزهای فرد دختران
                            
",فاطمه پذیره,77800141-77800172,,منطقه 4,"
                           ابتدای خ هنگام - نرسیده به فرجام   پلاک: 53 طبقه اول - واحد 3 و 4 
                        ",,
"
                            پیرایش و عرضه انواع لوازم آرایشی ویژه آقایان
                            
",مجید صالح,76337399,09125400423,حومه تهران,"
                           دماوند، خ فرهنگ، میدان معلم، نبش مصالح فروشی پارسا 
                        ",,
"
                            آموزشگاه رانندگی 
                            
",پژهان فر,33144010,,منطقه 15,"
                           20متری افسریه بین 15متری دوم وسوم   پلاک: 251 
                        ",,
"
                            فولاد های سرد کار -گرم کار -نسوز - تسمه- میلگرد - ورق 
                            
",علی شجاعی,66672408-9,,منطقه 18,"
                           شاد آباد - بازار آهن - بلوک اردیبهشت  پلاک: 42 طبقه همکف 
                        ",,
"
                            آهن آلات 
                            
",عباس  رحمتی,33700394,,منطقه 13,"
                           17شهریور خ خاوران مقابل بانک ملی   پلاک: 890 
                        ",,
"
                            اجاره آلات موسیقی 
                            
",محمود  جورج,44238525,,منطقه 2,"
                           ف اول صادقیه خ ستارخان  پاساژ گلستان  طبقه زیرهمکف  پلاک: 25 
                        ",,
"
                            عکاسی
                            
",سعید یزدان مهر,77904628,,منطقه 8,"
                           نارمک -  بالاتراز چ تلفنخانه   پلاک: 217 
                        ",,
"
                            آهن آلات-فروش (همه نوع)
                            
",موسی پور,66671211,,منطقه 18,"
                           شاد آباد-بازار آهن-بلوک3شمالی  پلاک: 67 
                        ",,
"
                            آتلیه عکسبرداری و فیلمبرداری
                            
",مهدی محسنی,77266060,,منطقه 8,"
                           رسالت - مدنی - پایین تراز مترو فدک  پلاک: 1198 
                        ",,
"
                            دبیرستان دخترانه
                            
",,33892926,,منطقه 15,"
                           آاتوبان بعثت - شهرک شهید بروجردی- شهرک حمیدیه و سعیدیه 
                        ",,
"
                            آموزش خیاطی و طراحی لباس و آموزشگاه آرایش و پیرایش
                            
",معصومه حیدری,66120452-66120433,,منطقه 6,"
                           م انقلاب - اول خ آزادی  کوچه قائم مقام - بن بست اول  پلاک: 37 طبقه 1 
                        ",,
"
                            مدرسه راهنمایی غیرانتفاعی
                            
",علی شمایی,66407031,,منطقه 11,"
                           جمهوری، خ دانشگاه، خ لبافی نژآد  پلاک: 113 
                        ",,
"
                            آهن آلات-فروش( همه نوع)
                            
",محمدی,66672340,,منطقه 18,"
                           شاد آباد-بازار آهن-بلوک 3جنوبی  پلاک: 62 
                        ",,
"
                            آتلیه عکاسی و فیلمبرداری
                            
",عادل فیلی زاده,44527830-44565399-09383987873,,منطقه 21,"
                           تهرانسر- بلوار لاله-چ قباد-نبش قباد جنوبی  پلاک: 1 
                        ",,
